
let p = 1/2

%BEGIN rPTSA config
restriction := 2
q0 := q
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(q, m0, root, 1, (q, m_a_1, up g1))
(q, cont, g45, 1, (q, cont, up g45))
(q, endStr, g45, 1, (q_end, endStr, down))
(q_end, m_a_45, root, 1, (q, m_a_46, up g46))
(q_end, m_b_45, root, 1, (q, m_b_46, up g46))
(q, m0, g46, p, (q, cont, up g46))
(q, m0, g46, 1 - p, (q_end, endStr, down))
(q_end, cont, g46, 1, (q_end, cont, down))
(q, cont, g46, 1, (q, cont, up g46))
(q, endStr, g46, 1, (q_end, endStr, down))
(q_end, m_a_46, root, 1, (q, m_a_47, up g47))
(q_end, m_b_46, root, 1, (q, m_b_47, up g47))
(q, m0, g47, p, (q, cont, up g47))
(q, m0, g47, 1 - p, (q_end, endStr, down))
(q_end, cont, g47, 1, (q_end, cont, down))
(q, cont, g47, 1, (q, cont, up g47))
(q, endStr, g47, 1, (q_end, endStr, down))
(q_end, m_a_47, root, 1, (q, m_a_48, up g48))
(q_end, m_b_47, root, 1, (q, m_b_48, up g48))
(q, m0, g48, p, (q, cont, up g48))
(q, m0, g48, 1 - p, (q_end, endStr, down))
(q_end, cont, g48, 1, (q_end, cont, down))
(q, cont, g48, 1, (q, cont, up g48))
(q, endStr, g48, 1, (q_end, endStr, down))
(q_end, m_a_48, root, 1, (q, m_a_49, up g49))
(q_end, m_b_48, root, 1, (q, m_b_49, up g49))
(q, m0, g49, p, (q, cont, up g49))
(q, m0, g49, 1 - p, (q_end, endStr, down))
(q_end, cont, g49, 1, (q_end, cont, down))
(q, cont, g49, 1, (q, cont, up g49))
(q, endStr, g49, 1, (q_end, endStr, down))
(q_end, m_a_49, root, 1, (q, m_a_50, up g50))
(q_end, m_b_49, root, 1, (q, m_b_50, up g50))
(q, m0, g50, p, (q, cont, up g50))
(q, m0, g50, 1 - p, (q_end, endStr, down))
(q_end, cont, g50, 1, (q_end, cont, down))
(q, cont, g50, 1, (q, cont, up g50))
(q, endStr, g50, 1, (q_end, endStr, down))
(q_end, m_a_50, root, 1, (q, m_a_51, up g51))
(q_end, m_b_50, root, 1, (q, m_b_51, up g51))
(q, m0, g51, p, (q, cont, up g51))
(q, m0, g51, 1 - p, (q_end, endStr, down))
(q_end, cont, g51, 1, (q_end, cont, down))
(q, cont, g51, 1, (q, cont, up g51))
(q, endStr, g51, 1, (q_end, endStr, down))
(q_end, m_a_51, root, 1, (q, m_a_52, up g52))
(q_end, m_b_51, root, 1, (q, m_b_52, up g52))
(q, m0, g52, p, (q, cont, up g52))
(q, m0, g52, 1 - p, (q_end, endStr, down))
(q_end, cont, g52, 1, (q_end, cont, down))
(q, cont, g52, 1, (q, cont, up g52))
(q, endStr, g52, 1, (q_end, endStr, down))
(q_end, m_a_52, root, 1, (q, m_a_53, up g53))
(q_end, m_b_52, root, 1, (q, m_b_53, up g53))
(q, m0, g53, p, (q, cont, up g53))
(q, m0, g53, 1 - p, (q_end, endStr, down))
(q_end, cont, g53, 1, (q_end, cont, down))
(q, cont, g53, 1, (q, cont, up g53))
(q, endStr, g53, 1, (q_end, endStr, down))
(q_end, m_a_53, root, 1, (q, m_a_54, up g54))
(q_end, m_b_53, root, 1, (q, m_b_54, up g54))
(q, m0, g54, p, (q, cont, up g54))
(q, m0, g54, 1 - p, (q_end, endStr, down))
(q_end, cont, g54, 1, (q_end, cont, down))
(q, cont, g54, 1, (q, cont, up g54))
(q, endStr, g54, 1, (q_end, endStr, down))
(q_end, m_a_54, root, 1, (q, m_a_55, up g55))
(q_end, m_b_54, root, 1, (q, m_b_55, up g55))
(q, m0, g55, p, (q, cont, up g55))
(q, m0, g55, 1 - p, (q_end, endStr, down))
(q_end, cont, g55, 1, (q_end, cont, down))
(q, cont, g55, 1, (q, cont, up g55))
(q, endStr, g55, 1, (q_end, endStr, down))
(q_end, m_a_55, root, 1, (q, m_a_56, up g56))
(q_end, m_b_55, root, 1, (q, m_b_56, up g56))
(q, m0, g56, p, (q, cont, up g56))
(q, m0, g56, 1 - p, (q_end, endStr, down))
(q_end, cont, g56, 1, (q_end, cont, down))
(q, cont, g56, 1, (q, cont, up g56))
(q, endStr, g56, 1, (q_end, endStr, down))
(q_end, m_a_56, root, 1, (q, m_a_57, up g57))
(q_end, m_b_56, root, 1, (q, m_b_57, up g57))
(q, m0, g57, p, (q, cont, up g57))
(q, m0, g57, 1 - p, (q_end, endStr, down))
(q_end, cont, g57, 1, (q_end, cont, down))
(q, cont, g57, 1, (q, cont, up g57))
(q, endStr, g57, 1, (q_end, endStr, down))
(q_end, m_a_57, root, 1, (q, m_a_58, up g58))
(q_end, m_b_57, root, 1, (q, m_b_58, up g58))
(q, m0, g58, p, (q, cont, up g58))
(q, m0, g58, 1 - p, (q_end, endStr, down))
(q_end, cont, g58, 1, (q_end, cont, down))
(q, cont, g58, 1, (q, cont, up g58))
(q, endStr, g58, 1, (q_end, endStr, down))
(q_end, m_a_58, root, 1, (q, m_a_59, up g59))
(q_end, m_b_58, root, 1, (q, m_b_59, up g59))
(q, m0, g59, p, (q, cont, up g59))
(q, m0, g59, 1 - p, (q_end, endStr, down))
(q_end, cont, g59, 1, (q_end, cont, down))
(q, cont, g59, 1, (q, cont, up g59))
(q, endStr, g59, 1, (q_end, endStr, down))
(q_end, m_a_59, root, 1, (q, m_a_60, up g60))
(q_end, m_b_59, root, 1, (q, m_b_60, up g60))
(q, m0, g60, p, (q, cont, up g60))
(q, m0, g60, 1 - p, (q_end, endStr, down))
(q_end, cont, g60, 1, (q_end, cont, down))
(q, cont, g60, 1, (q, cont, up g60))
(q, endStr, g60, 1, (q_end, endStr, down))
(q_end, m_a_60, root, 1, (q, m_a_61, up g61))
(q_end, m_b_60, root, 1, (q, m_b_61, up g61))
(q, m0, g61, p, (q, cont, up g61))
(q, m0, g61, 1 - p, (q_end, endStr, down))
(q_end, cont, g61, 1, (q_end, cont, down))
(q, cont, g61, 1, (q, cont, up g61))
(q, endStr, g61, 1, (q_end, endStr, down))
(q_end, m_a_61, root, 1, (q, m_a_62, up g62))
(q_end, m_b_61, root, 1, (q, m_b_62, up g62))
(q, m0, g62, p, (q, cont, up g62))
(q, m0, g62, 1 - p, (q_end, endStr, down))
(q_end, cont, g62, 1, (q_end, cont, down))
(q, cont, g62, 1, (q, cont, up g62))
(q, endStr, g62, 1, (q_end, endStr, down))
(q_end, m_a_62, root, 1, (q, m_a_63, up g63))
(q_end, m_b_62, root, 1, (q, m_b_63, up g63))
(q, m0, g63, p, (q, cont, up g63))
(q, m0, g63, 1 - p, (q_end, endStr, down))
(q_end, cont, g63, 1, (q_end, cont, down))
(q, cont, g63, 1, (q, cont, up g63))
(q, endStr, g63, 1, (q_end, endStr, down))
(q_end, m_a_63, root, 1, (q, m_a_64, up g64))
(q_end, m_b_63, root, 1, (q, m_b_64, up g64))
(q, m0, g64, p, (q, cont, up g64))
(q, m0, g64, 1 - p, (q_end, endStr, down))
(q_end, cont, g64, 1, (q_end, cont, down))
(q, cont, g64, 1, (q, cont, up g64))
(q, endStr, g64, 1, (q_end, endStr, down))
(q_end, m_a_64, root, 1, (q, m_a_65, up g65))
(q_end, m_b_64, root, 1, (q, m_b_65, up g65))
(q, m0, g65, p, (q, cont, up g65))
(q, m0, g65, 1 - p, (q_end, endStr, down))
(q_end, cont, g65, 1, (q_end, cont, down))
(q, cont, g65, 1, (q, cont, up g65))
(q, endStr, g65, 1, (q_end, endStr, down))
(q_end, m_a_65, root, 1, (q, m_a_66, up g66))
(q_end, m_b_65, root, 1, (q, m_b_66, up g66))
(q, m0, g66, p, (q, cont, up g66))
(q, m0, g66, 1 - p, (q_end, endStr, down))
(q_end, cont, g66, 1, (q_end, cont, down))
(q, cont, g66, 1, (q, cont, up g66))
(q, endStr, g66, 1, (q_end, endStr, down))
(q_end, m_a_66, root, 1, (q, m_a_67, up g67))
(q_end, m_b_66, root, 1, (q, m_b_67, up g67))
(q, m0, g67, p, (q, cont, up g67))
(q, m0, g67, 1 - p, (q_end, endStr, down))
(q_end, cont, g67, 1, (q_end, cont, down))
(q, cont, g67, 1, (q, cont, up g67))
(q, endStr, g67, 1, (q_end, endStr, down))
(q_end, m_a_67, root, 1, (q, m_a_68, up g68))
(q_end, m_b_67, root, 1, (q, m_b_68, up g68))
(q, m0, g68, p, (q, cont, up g68))
(q, m0, g68, 1 - p, (q_end, endStr, down))
(q_end, cont, g68, 1, (q_end, cont, down))
(q, cont, g68, 1, (q, cont, up g68))
(q, endStr, g68, 1, (q_end, endStr, down))
(q_end, m_a_68, root, 1, (q, m_a_69, up g69))
(q_end, m_b_68, root, 1, (q, m_b_69, up g69))
(q, m0, g69, p, (q, cont, up g69))
(q, m0, g69, 1 - p, (q_end, endStr, down))
(q_end, cont, g69, 1, (q_end, cont, down))
(q, cont, g69, 1, (q, cont, up g69))
(q, endStr, g69, 1, (q_end, endStr, down))
(q_end, m_a_69, root, 1, (q, m_a_70, up g70))
(q_end, m_b_69, root, 1, (q, m_b_70, up g70))
(q, m0, g70, p, (q, cont, up g70))
(q, m0, g70, 1 - p, (q_end, endStr, down))
(q_end, cont, g70, 1, (q_end, cont, down))
(q, cont, g70, 1, (q, cont, up g70))
(q, endStr, g70, 1, (q_end, endStr, down))
(q_end, m_a_70, root, 1, (q, m_a_71, up g71))
(q_end, m_b_70, root, 1, (q, m_b_71, up g71))
(q, m0, g71, p, (q, cont, up g71))
(q, m0, g71, 1 - p, (q_end, endStr, down))
(q_end, cont, g71, 1, (q_end, cont, down))
(q, cont, g71, 1, (q, cont, up g71))
(q, endStr, g71, 1, (q_end, endStr, down))
(q_end, m_a_71, root, 1, (q, m_a_72, up g72))
(q_end, m_b_71, root, 1, (q, m_b_72, up g72))
(q, m0, g72, p, (q, cont, up g72))
(q, m0, g72, 1 - p, (q_end, endStr, down))
(q_end, cont, g72, 1, (q_end, cont, down))
(q, cont, g72, 1, (q, cont, up g72))
(q, endStr, g72, 1, (q_end, endStr, down))
(q_end, m_a_72, root, 1, (q, m_a_73, up g73))
(q_end, m_b_72, root, 1, (q, m_b_73, up g73))
(q, m0, g73, p, (q, cont, up g73))
(q, m0, g73, 1 - p, (q_end, endStr, down))
(q_end, cont, g73, 1, (q_end, cont, down))
(q, cont, g73, 1, (q, cont, up g73))
(q, endStr, g73, 1, (q_end, endStr, down))
(q_end, m_a_73, root, 1, (q, m_a_74, up g74))
(q_end, m_b_73, root, 1, (q, m_b_74, up g74))
(q, m0, g74, p, (q, cont, up g74))
(q, m0, g74, 1 - p, (q_end, endStr, down))
(q_end, cont, g74, 1, (q_end, cont, down))
(q, cont, g74, 1, (q, cont, up g74))
(q, endStr, g74, 1, (q_end, endStr, down))
(q_end, m_a_74, root, 1, (q, m_a_75, up g75))
(q_end, m_b_74, root, 1, (q, m_b_75, up g75))
(q, m0, g75, p, (q, cont, up g75))
(q, m0, g75, 1 - p, (q_end, endStr, down))
(q_end, cont, g75, 1, (q_end, cont, down))
(q, cont, g75, 1, (q, cont, up g75))
(q, endStr, g75, 1, (q_end, endStr, down))
(q_end, m_a_75, root, 1, (q, m_a_76, up g76))
(q_end, m_b_75, root, 1, (q, m_b_76, up g76))
(q, m0, g76, p, (q, cont, up g76))
(q, m0, g76, 1 - p, (q_end, endStr, down))
(q_end, cont, g76, 1, (q_end, cont, down))
(q, cont, g76, 1, (q, cont, up g76))
(q, endStr, g76, 1, (q_end, endStr, down))
